experiment_name,concurrency,payload_file,errors,successes,error_rate,all_prompts_token_count,prompt_token_count_mean,prompt_token_throughput,all_completions_token_count,completion_token_count_mean,completion_token_throughput,transactions,transactions_per_second,transactions_per_minute,latency_mean,instance_type,EndpointName,ModelName,Image,S3Uri
llama2-70b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,2,payload_en_2000-3000.jsonl,[],2,0.0,4541,2270.5,218.76,204,102.0,9.83,2,0.1,6,20.725478302999818,ml.g5.48xlarge,llama-2-70b-g5-48xlarge-1705605987,meta-textgeneration-llama-2-70b-2024-01-18-19-26-27-616,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-70b/artifacts/inference-prepack/v1.0.0/
llama2-70b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,2,payload_en_3000-4000.jsonl,[],2,0.0,7459,3729.5,933.9,7659,3829.5,958.94,2,0.25,15,7.873669982499905,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-18-19-26-29-371,huggingface-pytorch-tgi-inference-2024-01-18-19-26-28-312,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,
llama2-70b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,1,payload_en_2000-3000.jsonl,[],1,0.0,2213,2213.0,418.47,2313,2313.0,437.38,1,0.19,11,5.265072764999786,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-18-19-26-29-371,huggingface-pytorch-tgi-inference-2024-01-18-19-26-28-312,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,
llama2-70b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,1,payload_en_3000-4000.jsonl,[],1,0.0,3909,3909.0,1971.77,3918,3918.0,1976.31,1,0.5,30,1.9395524020001176,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-18-19-26-29-371,huggingface-pytorch-tgi-inference-2024-01-18-19-26-28-312,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,
llama2-70b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,2,payload_en_1000-2000.jsonl,[],2,0.0,3828,1914.0,562.14,4028,2014.0,591.51,2,0.29,17,6.751154241500444,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-18-19-26-29-371,huggingface-pytorch-tgi-inference-2024-01-18-19-26-28-312,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,
llama2-70b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,1,payload_en_2000-3000.jsonl,[],1,0.0,2440,2440.0,448.13,2540,2540.0,466.5,1,0.18,10,5.419849631000034,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-18-19-26-29-371,huggingface-pytorch-tgi-inference-2024-01-18-19-26-28-312,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,
llama2-70b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,1,payload_en_3000-4000.jsonl,[],1,0.0,3783,3783.0,317.1,7,7.0,0.59,1,0.08,4,11.90480994399968,ml.g5.48xlarge,llama-2-70b-g5-48xlarge-1705605987,meta-textgeneration-llama-2-70b-2024-01-18-19-26-27-616,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-70b/artifacts/inference-prepack/v1.0.0/
llama2-70b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,1,payload_en_3000-4000.jsonl,[],1,0.0,3891,3891.0,2444.58,3893,3893.0,2445.84,1,0.63,37,1.5501511510001365,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-18-19-26-29-371,huggingface-pytorch-tgi-inference-2024-01-18-19-26-28-312,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,
llama2-70b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,1,payload_en_1000-2000.jsonl,[],1,0.0,1918,1918.0,330.77,2018,2018.0,348.02,1,0.17,10,5.776397007000014,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-18-19-26-29-371,huggingface-pytorch-tgi-inference-2024-01-18-19-26-28-312,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,
llama2-70b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,4,payload_en_2000-3000.jsonl,[],4,0.0,10177,2544.25,262.68,317,79.25,8.18,4,0.1,6,36.62412844824985,ml.g5.48xlarge,llama-2-70b-g5-48xlarge-1705605987,meta-textgeneration-llama-2-70b-2024-01-18-19-26-27-616,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-70b/artifacts/inference-prepack/v1.0.0/
llama2-70b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,2,payload_en_2000-3000.jsonl,[],2,0.0,5172,2586.0,257.08,103,51.5,5.12,2,0.1,6,18.448441763499886,ml.g5.48xlarge,llama-2-70b-g5-48xlarge-1705605987,meta-textgeneration-llama-2-70b-2024-01-18-19-26-27-616,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-70b/artifacts/inference-prepack/v1.0.0/
llama2-70b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,1,payload_en_1000-2000.jsonl,[],1,0.0,1695,1695.0,143.26,102,102.0,8.62,1,0.08,4,11.81940019800004,ml.g5.48xlarge,llama-2-70b-g5-48xlarge-1705605987,meta-textgeneration-llama-2-70b-2024-01-18-19-26-27-616,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-70b/artifacts/inference-prepack/v1.0.0/
llama2-70b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,1,payload_en_2000-3000.jsonl,[],1,0.0,2686,2686.0,478.85,2786,2786.0,496.68,1,0.18,10,5.590449731999797,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-18-19-26-29-371,huggingface-pytorch-tgi-inference-2024-01-18-19-26-28-312,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,
llama2-70b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,1,payload_en_3000-4000.jsonl,[],1,0.0,3098,3098.0,489.58,3198,3198.0,505.38,1,0.16,9,6.291088203000072,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-18-19-26-29-371,huggingface-pytorch-tgi-inference-2024-01-18-19-26-28-312,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,
llama2-70b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,1,payload_en_3000-4000.jsonl,[],1,0.0,3165,3165.0,1889.11,3168,3168.0,1890.91,1,0.6,36,1.619874632000574,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-18-19-26-29-371,huggingface-pytorch-tgi-inference-2024-01-18-19-26-28-312,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,
llama2-70b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,1,payload_en_2000-3000.jsonl,[],1,0.0,2321,2321.0,170.11,102,102.0,7.48,1,0.07,4,13.629929784000069,ml.g5.48xlarge,llama-2-70b-g5-48xlarge-1705605987,meta-textgeneration-llama-2-70b-2024-01-18-19-26-27-616,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-70b/artifacts/inference-prepack/v1.0.0/
llama2-70b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,1,payload_en_2000-3000.jsonl,[],1,0.0,2186,2186.0,169.36,101,101.0,7.83,1,0.08,4,12.892094183999689,ml.g5.48xlarge,llama-2-70b-g5-48xlarge-1705605987,meta-textgeneration-llama-2-70b-2024-01-18-19-26-27-616,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-70b/artifacts/inference-prepack/v1.0.0/
llama2-70b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,1,payload_en_2000-3000.jsonl,[],1,0.0,2369,2369.0,172.55,102,102.0,7.43,1,0.07,4,13.705682153999987,ml.g5.48xlarge,llama-2-70b-g5-48xlarge-1705605987,meta-textgeneration-llama-2-70b-2024-01-18-19-26-27-616,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-70b/artifacts/inference-prepack/v1.0.0/
llama2-70b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,2,payload_en_2000-3000.jsonl,[],2,0.0,4541,2270.5,732.95,4642,2321.0,749.25,2,0.32,19,3.895053818499946,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-18-19-26-29-371,huggingface-pytorch-tgi-inference-2024-01-18-19-26-28-312,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,
llama2-70b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,2,payload_en_2000-3000.jsonl,[],2,0.0,4554,2277.0,224.18,204,102.0,10.04,2,0.1,6,20.289133486000082,ml.g5.48xlarge,llama-2-70b-g5-48xlarge-1705605987,meta-textgeneration-llama-2-70b-2024-01-18-19-26-27-616,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-70b/artifacts/inference-prepack/v1.0.0/
llama2-70b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,4,payload_en_2000-3000.jsonl,[],4,0.0,10177,2544.25,1051.97,10400,2600.0,1075.02,4,0.41,24,6.0055911485003435,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-18-19-26-29-371,huggingface-pytorch-tgi-inference-2024-01-18-19-26-28-312,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,
llama2-70b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,1,payload_en_3000-4000.jsonl,[],1,0.0,3030,3030.0,333.83,5,5.0,0.55,1,0.11,6,9.055315553000128,ml.g5.48xlarge,llama-2-70b-g5-48xlarge-1705605987,meta-textgeneration-llama-2-70b-2024-01-18-19-26-27-616,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-70b/artifacts/inference-prepack/v1.0.0/
llama2-70b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,1,payload_en_3000-4000.jsonl,[],1,0.0,3410,3410.0,234.15,62,62.0,4.26,1,0.07,4,14.540835817999778,ml.g5.48xlarge,llama-2-70b-g5-48xlarge-1705605987,meta-textgeneration-llama-2-70b-2024-01-18-19-26-27-616,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-70b/artifacts/inference-prepack/v1.0.0/
llama2-70b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,1,payload_en_2000-3000.jsonl,[],1,0.0,2637,2637.0,433.34,2737,2737.0,449.78,1,0.16,9,6.063356601000123,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-18-19-26-29-371,huggingface-pytorch-tgi-inference-2024-01-18-19-26-28-312,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,
llama2-70b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,2,payload_en_2000-3000.jsonl,[],2,0.0,4886,2443.0,737.05,5086,2543.0,767.22,2,0.3,18,6.556778475500323,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-18-19-26-29-371,huggingface-pytorch-tgi-inference-2024-01-18-19-26-28-312,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,
llama2-70b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,2,payload_en_2000-3000.jsonl,[],2,0.0,5315,2657.5,229.31,204,102.0,8.8,2,0.09,5,23.155919991000246,ml.g5.48xlarge,llama-2-70b-g5-48xlarge-1705605987,meta-textgeneration-llama-2-70b-2024-01-18-19-26-27-616,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-70b/artifacts/inference-prepack/v1.0.0/
llama2-70b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,1,payload_en_1000-2000.jsonl,[],1,0.0,1154,1154.0,123.45,102,102.0,10.91,1,0.11,6,9.338883366000118,ml.g5.48xlarge,llama-2-70b-g5-48xlarge-1705605987,meta-textgeneration-llama-2-70b-2024-01-18-19-26-27-616,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-70b/artifacts/inference-prepack/v1.0.0/
llama2-70b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,1,payload_en_3000-4000.jsonl,[],1,0.0,3537,3537.0,572.94,3637,3637.0,589.14,1,0.16,9,6.140710530000433,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-18-19-26-29-371,huggingface-pytorch-tgi-inference-2024-01-18-19-26-28-312,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,
llama2-70b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,4,payload_en_3000-4000.jsonl,[],4,0.0,13849,3462.25,266.97,408,102.0,7.87,4,0.08,4,49.85090795425003,ml.g5.48xlarge,llama-2-70b-g5-48xlarge-1705605987,meta-textgeneration-llama-2-70b-2024-01-18-19-26-27-616,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-70b/artifacts/inference-prepack/v1.0.0/
llama2-70b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,1,payload_en_3000-4000.jsonl,[],1,0.0,3537,3537.0,193.29,102,102.0,5.57,1,0.05,3,18.267795449999994,ml.g5.48xlarge,llama-2-70b-g5-48xlarge-1705605987,meta-textgeneration-llama-2-70b-2024-01-18-19-26-27-616,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-70b/artifacts/inference-prepack/v1.0.0/
